PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Title patch,Title patch status,Title length,No. of titles,Is indexable page
22,https://createmy-qr.com/compare,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Compare Tools
types.compare QR Code Generator - Free & Custom | CreateMy-QR
Compare Plans - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"71
61
27",3,true
22,https://createmy-qr.com/about,"Free QR Code Generator Online - CreateMy-QR (No Signup) | About Us
types.about QR Code Generator - Free & Custom | CreateMy-QR
About CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"66
59
17",3,true
22,https://createmy-qr.com/pricing,"Free QR Code Generator Online - CreateMy-QR (No Signup) | 100% Free Pricing
types.pricing QR Code Generator - Free & Custom | CreateMy-QR
100% Free Pricing | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"75
61
31",3,true
22,https://createmy-qr.com/languages,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Supported Languages
types.languages QR Code Generator - Free & Custom | CreateMy-QR
Supported Languages | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"77
63
33",3,true
22,https://createmy-qr.com/scan-qr,"Free QR Code Scanner Online - Scan QR Instantly
types.scanqr QR Code Generator - Free & Custom | CreateMy-QR
Scan QR Code Online",text/html; charset=utf-8,false,200,0,0,,,"47
60
19",3,true
22,https://createmy-qr.com/barcode-generator,"Free Barcode Generator Online - Create 1D Barcodes
types.barcode QR Code Generator - Free & Custom | CreateMy-QR
Free Barcode Generator",text/html; charset=utf-8,false,200,0,0,,,"50
61
22",3,true
22,https://createmy-qr.com/privacy,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Privacy Policy
types.privacy QR Code Generator - Free & Custom | CreateMy-QR
Privacy Policy - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"72
61
28",3,true
22,https://createmy-qr.com/terms,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Terms of Service
types.terms QR Code Generator - Free & Custom | CreateMy-QR
Terms of Service - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"74
59
30",3,true
22,https://createmy-qr.com/scan-barcode,"Free Barcode Scanner Online - Scan UPC & EAN
Barcode Scanner QR Code Generator - Free & Custom | CreateMy-QR
Scan Barcode Online",text/html; charset=utf-8,false,200,0,0,,,"44
63
19",3,true
22,https://createmy-qr.com/security,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Security Architecture
types.security QR Code Generator - Free & Custom | CreateMy-QR
Security Architecture | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"79
62
35",3,true
21,https://createmy-qr.com/tr/snapchat-ucretsiz-cevrimici-qr-kod-olusturucu,"Snapchat QR Kod Oluşturucu - Ücretsiz ve Özel | CreateMy-QR
Snapchat - Ücretsiz Çevrimiçi QR Kod Oluşturucu - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"59
61",2,true
21,https://createmy-qr.com/fi/tietosuojakaytanto,"Ilmainen QR-koodigeneraattori Netissä - CreateMy-QR (No Signup) | Tietosuojakäytäntö
types.privacy QR-koodigeneraattori - ilmainen ja räätälöity | CreateMy-QR
Tietosuojakäytäntö | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"84
73
32",3,true
21,https://createmy-qr.com/es/venmo-generador-de-codigos-qr-gratis-online,"Generador de códigos QR Venmo: gratuito y personalizado | CreateMy-QR
Venmo - Generador de Códigos QR Gratis Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"69
59",2,true
21,https://createmy-qr.com/ru/vcard-besplatnyy-generator-qr-kodov-onlayn,"vCard Генератор QR-кодов — бесплатный и настраиваемый | CreateMy-QR
vCard - Бесплатный генератор QR-кодов онлайн - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,,,"67
58",2,true
