PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,H1,H1 length,No. of H1,Is indexable page
21,https://createmy-qr.com/tr/snapchat-ucretsiz-cevrimici-qr-kod-olusturucu,"Snapchat QR Kod Oluşturucu - Ücretsiz ve Özel | CreateMy-QR
Snapchat - Ücretsiz Çevrimiçi QR Kod Oluşturucu - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Snapchat QR Kodu
Gerçekten Çalışan QR Kodlar","16
27",2,true
21,https://createmy-qr.com/es/venmo-generador-de-codigos-qr-gratis-online,"Generador de códigos QR Venmo: gratuito y personalizado | CreateMy-QR
Venmo - Generador de Códigos QR Gratis Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Venmo Código QR
Códigos QR Que Realmente Funcionan","15
34",2,true
21,https://createmy-qr.com/ar/discord-mwld-rmz-lstjb-lsryaa-mjny,"خلاف QR Code Generator - مجاني ومخصص | CreateMy-QR
خلاف - مولد رمز الاستجابة السريعة مجاني - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"خلاف رمز QR
Welcome to #welcome!","11
20",2,true
21,https://createmy-qr.com/fr/reservation-generateur-de-code-qr-gratuit-en-ligne,"Générateur de code QR Réservation - Gratuit et personnalisé | CreateMy-QR
Réservation - Générateur de Code QR Gratuit en Ligne - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Réservation Code QR
Des QR Codes Qui Fonctionnent Vraiment","19
38",2,true
21,https://createmy-qr.com/ko/google-forms-muryo-onrain-qr-kodeu-saengseonggi,"Google 양식 QR 코드 생성기 - 무료 및 사용자 정의 | CreateMy-QR
Google 양식 - 무료 온라인 QR 코드 생성기 - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Google 양식 QR 코드
실제로 작동하는 QR 코드","15
14",2,true
21,https://createmy-qr.com/vcard-qr-code-for-real-estate-agents,"vCard QR Code for Real Estate Agents | CreateMy-QR
vCard QR Code for Real Estate Agents | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"vCard QR Code for Real Estate Agents
vCard QR Code for Real Estate Agents","36
36",2,true
21,https://createmy-qr.com/de/google-review-kostenloser-qr-code-generator-online,"Google-Rezension QR-Code-Generator – kostenlos und benutzerdefiniert | CreateMy-QR
Google-Rezension - Kostenloser QR-Code Generator Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Google-Rezension QR-Code
QR-Codes, Die Wirklich Funktionieren","24
36",2,true
21,https://createmy-qr.com/cs/snapchat-zdarma-online-generator-qr-kodu,"Snapchat generátor QR kódu – zdarma a na míru | CreateMy-QR
Snapchat - Zdarma Online Generátor QR Kódů - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Snapchat QR kód
QR kódy, které skutečně fungují","15
31",2,true
21,https://createmy-qr.com/zh/snapchat-mian-fei-zai-xian-er-wei-ma-sheng-cheng-qi,"快照 QR 代码生成器 - 免费和自定义 | CreateMy-QR
快照 - 免费在线二维码生成器 - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"快照二维码
真正有效的二维码","5
8",2,true
21,https://createmy-qr.com/bn/discord-phri-anlaain-kiuaar-kodd-jenaarettr,"বিরোধ QR কোড জেনারেটর - বিনামূল্যে এবং কাস্টম | CreateMy-QR
বিরোধ - ফ্রি অনলাইন কিউআর কোড জেনারেটর - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"বিরোধ QR কোড
Welcome to #welcome!","12
20",2,true
21,https://createmy-qr.com/fi/venmo-ilmainen-qr-koodigeneraattori-netissa,"Venmo QR-koodigeneraattori - ilmainen ja räätälöity | CreateMy-QR
Venmo - Ilmainen QR-koodigeneraattori Netissä - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Venmo QR-koodi
QR-koodit, jotka todella toimivat","14
33",2,true
21,https://createmy-qr.com/hu/foglalas-ingyenes-online-qr-kod-generator,"Foglalás QR-kód generátor - ingyenes és egyedi | CreateMy-QR
Foglalás - Ingyenes Online QR-kód Generátor - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Foglalás QR-kód
QR-kódok, amelyek valóban működnek","15
34",2,true
21,https://createmy-qr.com/hi/piiddiieph-muph-t-onnlaain-kyuuaar-kodd-jnrettr,"पीडीएफ QR कोड जेनरेटर - मुफ़्त और कस्टम | CreateMy-QR
पीडीएफ - मुफ़्त ऑनलाइन क्यूआर कोड जनरेटर - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"पीडीएफ क्यूआर कोड
QR कोड जो वास्तव में काम करते हैं","17
33",2,true
21,https://createmy-qr.com/id/audio-generator-qr-code-gratis-online,"Audio Pembuat Kode QR - Gratis & Khusus | CreateMy-QR
Audio - Generator QR Code Gratis Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"QR Code Audio
QR Code yang Benar-Benar Berfungsi","13
34",2,true
21,https://createmy-qr.com/zh/paypal-mian-fei-zai-xian-er-wei-ma-sheng-cheng-qi,"贝宝 QR 代码生成器 - 免费和自定义 | CreateMy-QR
贝宝 - 免费在线二维码生成器 - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"贝宝二维码
真正有效的二维码","5
8",2,true
21,https://createmy-qr.com/ja/google-forms-wu-liao-qrkodozuo-cheng-zienereta,"Google フォーム QR コード ジェネレーター - 無料 & カスタム | CreateMy-QR
Google フォーム - 無料QRコード作成・ジェネレーター - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Google フォーム QR コード
本当に機能するQRコード","18
12",2,true
21,https://createmy-qr.com/ja/huairu-wu-liao-qrkodozuo-cheng-zienereta,"ファイル QR コード ジェネレーター - 無料 & カスタム | CreateMy-QR
ファイル - 無料QRコード作成・ジェネレーター - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"ファイル QR コード
本当に機能するQRコード","11
12",2,true
21,https://createmy-qr.com/tr/google-review-ucretsiz-cevrimici-qr-kod-olusturucu,"Google İncelemesi QR Kod Oluşturucu - Ücretsiz ve Özel | CreateMy-QR
Google İncelemesi - Ücretsiz Çevrimiçi QR Kod Oluşturucu - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Google İncelemesi QR Kodu
Gerçekten Çalışan QR Kodlar","25
27",2,true
21,https://createmy-qr.com/it/discord-generatore-di-codici-qr-gratis-online,"Generatore di codici QR Discordia - Gratuito e personalizzato | CreateMy-QR
Discordia - Generatore di Codici QR Gratis Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Discordia Codice QR
Welcome to #welcome!","19
20",2,true
21,https://createmy-qr.com/fr/x-twitter-generateur-de-code-qr-gratuit-en-ligne,"Générateur de code QR X (Twitter) - Gratuit et personnalisé | CreateMy-QR
X (Twitter) - Générateur de Code QR Gratuit en Ligne - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"X (Twitter) Code QR
X (Twitter) Explorer","19
20",2,true
21,https://createmy-qr.com/fi/paypal-ilmainen-qr-koodigeneraattori-netissa,"PayPal QR-koodigeneraattori - ilmainen ja räätälöity | CreateMy-QR
PayPal - Ilmainen QR-koodigeneraattori Netissä - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"PayPal QR-koodi
QR-koodit, jotka todella toimivat","15
33",2,true
21,https://createmy-qr.com/pl/plik-darmowy-generator-kodow-qr-online,"Generator kodów QR Plik — bezpłatny i niestandardowy | CreateMy-QR
Plik - Darmowy Generator Kodów QR Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Plik Kod QR
Kody QR, Które Naprawdę Działają","11
32",2,true
21,https://createmy-qr.com/zh/tu-pian-mian-fei-zai-xian-er-wei-ma-sheng-cheng-qi,"图片 QR 代码生成器 - 免费和自定义 | CreateMy-QR
图片 - 免费在线二维码生成器 - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"图片二维码
真正有效的二维码","5
8",2,true
21,https://createmy-qr.com/ar/snapchat-mwld-rmz-lstjb-lsryaa-mjny,"سناب شات QR Code Generator - مجاني ومخصص | CreateMy-QR
سناب شات - مولد رمز الاستجابة السريعة مجاني - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"سناب شات رمز QR
رموز QR تعمل فعلاً","15
18",2,true
21,https://createmy-qr.com/cs/online-rezervace-zdarma-online-generator-qr-kodu,"Online rezervace generátor QR kódu – zdarma a na míru | CreateMy-QR
Online rezervace - Zdarma Online Generátor QR Kódů - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Online rezervace QR kód
QR kódy, které skutečně fungují","23
31",2,true
21,https://createmy-qr.com/no/lyd-gratis-qr-kode-generator-online,"Lyd QR Code Generator - Gratis og tilpasset | CreateMy-QR
Lyd - Gratis QR-kode Generator Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Lyd QR-kode
QR-koder som faktisk fungerer","11
29",2,true
21,https://createmy-qr.com/vi/dat-cho-tao-ma-qr-mien-phi-truc-tuyen,"Trình tạo mã QR Đặt chỗ - Miễn phí & Tùy chỉnh | CreateMy-QR
Đặt chỗ - Tạo Mã QR Miễn Phí Trực Tuyến - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Đặt chỗ Mã QR
Mã QR Thực Sự Hoạt Động","13
23",2,true
21,https://createmy-qr.com/no/google-forms-gratis-qr-kode-generator-online,"Google Skjemaer QR Code Generator - Gratis og tilpasset | CreateMy-QR
Google Skjemaer - Gratis QR-kode Generator Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Google Skjemaer QR-kode
QR-koder som faktisk fungerer","23
29",2,true
21,https://createmy-qr.com/ru/video-besplatnyy-generator-qr-kodov-onlayn,"Видео Генератор QR-кодов — бесплатный и настраиваемый | CreateMy-QR
Видео - Бесплатный генератор QR-кодов онлайн - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Видео QR-код
QR-Коды, Которые Действительно Работают","12
39",2,true
21,https://createmy-qr.com/vi/pdf-tao-ma-qr-mien-phi-truc-tuyen,"Trình tạo mã QR PDF - Miễn phí & Tùy chỉnh | CreateMy-QR
PDF - Tạo Mã QR Miễn Phí Trực Tuyến - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"PDF Mã QR
Mã QR Thực Sự Hoạt Động","9
23",2,true
21,https://createmy-qr.com/zh/wen-jian-mian-fei-zai-xian-er-wei-ma-sheng-cheng-qi,"文件 QR 代码生成器 - 免费和自定义 | CreateMy-QR
文件 - 免费在线二维码生成器 - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"文件二维码
真正有效的二维码","5
8",2,true
21,https://createmy-qr.com/id/linkedin-generator-qr-code-gratis-online,"LinkedIn Pembuat Kode QR - Gratis & Khusus | CreateMy-QR
LinkedIn - Generator QR Code Gratis Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"QR Code LinkedIn
QR Code yang Benar-Benar Berfungsi for LinkedIn","16
47",2,true
21,https://createmy-qr.com/vi/tap-tin-tao-ma-qr-mien-phi-truc-tuyen,"Trình tạo mã QR Tập tin - Miễn phí & Tùy chỉnh | CreateMy-QR
Tập tin - Tạo Mã QR Miễn Phí Trực Tuyến - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Tập tin Mã QR
Mã QR Thực Sự Hoạt Động","13
23",2,true
21,https://createmy-qr.com/hi/viiddiyo-muph-t-onnlaain-kyuuaar-kodd-jnrettr,"वीडियो QR कोड जेनरेटर - मुफ़्त और कस्टम | CreateMy-QR
वीडियो - मुफ़्त ऑनलाइन क्यूआर कोड जनरेटर - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"वीडियो क्यूआर कोड
QR कोड जो वास्तव में काम करते हैं","17
33",2,true
21,https://createmy-qr.com/ja/pdf-wu-liao-qrkodozuo-cheng-zienereta,"PDF QR コード ジェネレーター - 無料 & カスタム | CreateMy-QR
PDF - 無料QRコード作成・ジェネレーター - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"PDF QR コード
本当に機能するQRコード","10
12",2,true
21,https://createmy-qr.com/de/video-kostenloser-qr-code-generator-online,"Video QR-Code-Generator – kostenlos und benutzerdefiniert | CreateMy-QR
Video - Kostenloser QR-Code Generator Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Video QR-Code
QR-Codes, Die Wirklich Funktionieren","13
36",2,true
21,https://createmy-qr.com/sv/pdf-gratis-qr-kod-generator-online,"PDF QR Code Generator - Gratis & anpassad | CreateMy-QR
PDF - Gratis QR-kod Generator Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"PDF QR-kod
QR-koder Som Faktiskt Fungerar","10
30",2,true
21,https://createmy-qr.com/id/amazon-generator-qr-code-gratis-online,"Amazon Pembuat Kode QR - Gratis & Khusus | CreateMy-QR
Amazon - Generator QR Code Gratis Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"QR Code Amazon
QR Code yang Benar-Benar Berfungsi","14
34",2,true
21,https://createmy-qr.com/el/paypal-dorean-dimioyrgia-qr-code-online,"PayPal QR Code Generator - Δωρεάν & Προσαρμοσμένο | CreateMy-QR
PayPal - Δωρεάν Δημιουργία QR Code Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"PayPal Κωδικός QR
Κωδικοί QR που λειτουργούν πραγματικά","17
37",2,true
21,https://createmy-qr.com/de/venmo-kostenloser-qr-code-generator-online,"Venmo QR-Code-Generator – kostenlos und benutzerdefiniert | CreateMy-QR
Venmo - Kostenloser QR-Code Generator Online - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Venmo QR-Code
QR-Codes, Die Wirklich Funktionieren","13
36",2,true
21,https://createmy-qr.com/vi/am-thanh-tao-ma-qr-mien-phi-truc-tuyen,"Trình tạo mã QR Âm thanh - Miễn phí & Tùy chỉnh | CreateMy-QR
Âm thanh - Tạo Mã QR Miễn Phí Trực Tuyến - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Âm thanh Mã QR
Mã QR Thực Sự Hoạt Động","14
23",2,true
21,https://createmy-qr.com/ar/paypal-mwld-rmz-lstjb-lsryaa-mjny,"باي بال QR Code Generator - مجاني ومخصص | CreateMy-QR
باي بال - مولد رمز الاستجابة السريعة مجاني - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"باي بال رمز QR
رموز QR تعمل فعلاً","14
18",2,true
21,https://createmy-qr.com/bn/snapchat-phri-anlaain-kiuaar-kodd-jenaarettr,"স্ন্যাপচ্যাট QR কোড জেনারেটর - বিনামূল্যে এবং কাস্টম | CreateMy-QR
স্ন্যাপচ্যাট - ফ্রি অনলাইন কিউআর কোড জেনারেটর - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"স্ন্যাপচ্যাট QR কোড
QR কোড যা আসলে কাজ করে","19
22",2,true
