PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Meta description,Meta description patch,Meta description patch status,Meta description length,No. of meta descriptions,Is indexable page
22,https://createmy-qr.com/compare,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Compare Tools
types.compare QR Code Generator - Free & Custom | CreateMy-QR
Compare Plans - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Compare our free features.
Convert your types.compare data into a custom QR code directly in your browser. 100% processed offline for absolute privacy. Free, no limits, and highly secure.",,,"26
160",2,true
22,https://createmy-qr.com/about,"Free QR Code Generator Online - CreateMy-QR (No Signup) | About Us
types.about QR Code Generator - Free & Custom | CreateMy-QR
About CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Learn more about CreateMy-QR.
Convert your types.about data into a custom QR code directly in your browser. 100% processed offline for absolute privacy. Free, no limits, and highly secure.",,,"29
158",2,true
22,https://createmy-qr.com/pricing,"Free QR Code Generator Online - CreateMy-QR (No Signup) | 100% Free Pricing
types.pricing QR Code Generator - Free & Custom | CreateMy-QR
100% Free Pricing | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Learn more about CreateMy-QR 100% free pricing.
Convert your types.pricing data into a custom QR code directly in your browser. 100% processed offline for absolute privacy. Free, no limits, and highly secure.",,,"47
160",2,true
22,https://createmy-qr.com/languages,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Supported Languages
types.languages QR Code Generator - Free & Custom | CreateMy-QR
Supported Languages | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Learn more about CreateMy-QR supported languages.
Convert your types.languages data into a custom QR code directly in your browser. 100% processed offline for absolute privacy. Free, no limits, and highly secure.",,,"49
162",2,true
22,https://createmy-qr.com/scan-qr,"Free QR Code Scanner Online - Scan QR Instantly
types.scanqr QR Code Generator - Free & Custom | CreateMy-QR
Scan QR Code Online",text/html; charset=utf-8,false,200,0,0,"Scan QR codes directly from your browser.
Convert your types.scanqr data into a custom QR code directly in your browser. 100% processed offline for absolute privacy. Free, no limits, and highly secure.
Scan QR codes instantly using your camera or by uploading an image. 100% secure, private, and client-side processing.",,,"41
159
117",3,true
22,https://createmy-qr.com/barcode-generator,"Free Barcode Generator Online - Create 1D Barcodes
types.barcode QR Code Generator - Free & Custom | CreateMy-QR
Free Barcode Generator",text/html; charset=utf-8,false,200,0,0,"Generate barcodes instantly.
Convert your types.barcode data into a custom QR code directly in your browser. 100% processed offline for absolute privacy. Free, no limits, and highly secure.
Generate professional 1D barcodes instantly. Support for Code-128, UPC, EAN, ITF-14, and more. Free, secure, and ready to download in high-res PNG.",,,"28
160
147",3,true
22,https://createmy-qr.com/privacy,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Privacy Policy
types.privacy QR Code Generator - Free & Custom | CreateMy-QR
Privacy Policy - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Read our privacy policy.
Convert your types.privacy data into a custom QR code directly in your browser. 100% processed offline for absolute privacy. Free, no limits, and highly secure.",,,"24
160",2,true
22,https://createmy-qr.com/terms,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Terms of Service
types.terms QR Code Generator - Free & Custom | CreateMy-QR
Terms of Service - CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Read our terms of service.
Convert your types.terms data into a custom QR code directly in your browser. 100% processed offline for absolute privacy. Free, no limits, and highly secure.",,,"26
158",2,true
22,https://createmy-qr.com/scan-barcode,"Free Barcode Scanner Online - Scan UPC & EAN
Barcode Scanner QR Code Generator - Free & Custom | CreateMy-QR
Scan Barcode Online",text/html; charset=utf-8,false,200,0,0,"Scan Barcodes directly from your browser.
Convert your Barcode Scanner data into a custom QR code directly in your browser. 100% processed offline for absolute privacy. Free, no limits, and highly secure.
Scan barcodes online for free using your device's camera or upload an image. Supports UPC, EAN, Code 128 and more. 100% private and secure.",,,"41
162
139",3,true
22,https://createmy-qr.com/security,"Free QR Code Generator Online - CreateMy-QR (No Signup) | Security Architecture
types.security QR Code Generator - Free & Custom | CreateMy-QR
Security Architecture | CreateMy-QR",text/html; charset=utf-8,false,200,0,0,"Learn more about CreateMy-QR security architecture.
Convert your types.security data into a custom QR code directly in your browser. 100% processed offline for absolute privacy. Free, no limits, and highly secure.",,,"51
161",2,true
